target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime
NGC6864,un1,301.52,-21.92138888889,3,53814.79254682,2000
NGC6864,un2,301.52,-21.92138888889,3,53814.8196287,100
NGC6864,un3,301.52,-21.92138888889,3,53814.79254682,2100
NGC6864,un4,301.52,-21.92138888889,3,53814.87935237,900
NGC6864,un5,301.52,-21.92138888889,3,53814.85921348,1400
NGC6864,un6,301.52,-21.92138888889,3,53814.85921348,2300
NGC6864-M75,un7,301.52,-21.92222222222,3,54921.77028444,3700
NGC6864-M75,un8,301.52,-21.92222222222,3,54921.88834,4800
NGC6864-M75,un9,301.52,-21.92222222222,3,54921.70153444,2200
NGC6864-M75,un10,301.52,-21.92222222222,3,54921.69181077,305
NGC6864-M75,un11,301.52,-21.92222222222,3,54921.69181077,11005
NGC6864,un12,301.52,-21.92138888889,3,52041.1411435,360
NGC6864,un13,301.52,-21.92138888889,3,52041.13767128,47
NGC6864,un14,301.52,-21.92138888889,3,52041.13767128,407
BIAS,un15,301.5287459453,-21.91908796731,3,52041.1610960301,0
BIAS,un16,301.5287459453,-21.91908796731,3,52041.1723693634,0
BIAS,un17,301.5287459453,-21.91908796731,3,52041.1738971412,0
BIAS,un18,301.5287459453,-21.91908796731,3,52041.1747071412,0
BIAS,un19,301.5287459453,-21.91908796731,3,52041.175424919,0
